x	CH1	Source	CH1_
1.64E-07	0.576	-3.44E-05	-0.02
1.66E-07	0.592	-3.44E-05	-0.02
1.68E-07	0.6	-3.44E-05	-0.02
1.70E-07	0.592	-3.43E-05	-0.02
1.72E-07	0.584	-3.43E-05	-0.02
1.74E-07	0.592	-3.43E-05	-0.02
1.76E-07	0.584	-3.43E-05	-0.02
1.78E-07	0.584	-3.43E-05	-0.02
1.80E-07	0.576	-3.43E-05	-0.02
1.82E-07	0.56	-3.43E-05	-0.02
1.84E-07	0.56	-3.43E-05	-0.02
1.86E-07	0.568	-3.43E-05	-0.02
1.88E-07	0.568	-3.43E-05	-0.02
1.90E-07	0.552	-3.42E-05	-0.02
1.92E-07	0.544	-3.42E-05	-0.02
1.94E-07	0.552	-3.42E-05	-0.02
1.96E-07	0.56	-3.42E-05	0
1.98E-07	0.56	-3.42E-05	-0.02
2.00E-07	0.56	-3.42E-05	-0.02
2.02E-07	0.56	-3.42E-05	-0.02
2.04E-07	0.56	-3.42E-05	0
2.06E-07	0.568	-3.42E-05	0
2.08E-07	0.576	-3.42E-05	-0.02
2.10E-07	0.576	-3.41E-05	-0.02
2.12E-07	0.568	-3.41E-05	-0.02
2.14E-07	0.568	-3.41E-05	-0.02
2.16E-07	0.576	-3.41E-05	-0.02
2.18E-07	0.568	-3.41E-05	-0.02
2.20E-07	0.568	-3.41E-05	-0.02
2.22E-07	0.56	-3.41E-05	0
2.24E-07	0.56	-3.41E-05	0
2.26E-07	0.568	-3.41E-05	-0.02
2.28E-07	0.56	-3.41E-05	0
2.30E-07	0.56	-3.40E-05	-0.02
2.32E-07	0.552	-3.40E-05	-0.02
2.34E-07	0.552	-3.40E-05	0
2.36E-07	0.56	-3.40E-05	0
2.38E-07	0.56	-3.40E-05	0
2.40E-07	0.56	-3.40E-05	-0.02
2.42E-07	0.56	-3.40E-05	0
2.44E-07	0.56	-3.40E-05	-0.02
2.46E-07	0.568	-3.40E-05	0
2.48E-07	0.56	-3.40E-05	0
2.50E-07	0.568	-3.39E-05	0
2.52E-07	0.56	-3.39E-05	-0.02
2.54E-07	0.568	-3.39E-05	-0.02
2.56E-07	0.568	-3.39E-05	-0.02
2.58E-07	0.56	-3.39E-05	0
2.60E-07	0.56	-3.39E-05	0
2.62E-07	0.56	-3.39E-05	-0.02
2.64E-07	0.568	-3.39E-05	0
2.66E-07	0.56	-3.39E-05	-0.02
2.68E-07	0.552	-3.39E-05	-0.02
2.70E-07	0.56	-3.38E-05	0
2.72E-07	0.544	-3.38E-05	0
2.74E-07	0.56	-3.38E-05	-0.02
2.76E-07	0.576	-3.38E-05	-0.02
2.78E-07	0.56	-3.38E-05	0
2.80E-07	0.552	-3.38E-05	-0.02
2.82E-07	0.56	-3.38E-05	0
2.84E-07	0.56	-3.38E-05	-0.02
2.86E-07	0.568	-3.38E-05	0
2.88E-07	0.568	-3.38E-05	0
2.90E-07	0.56	-3.37E-05	0
2.92E-07	0.552	-3.37E-05	0
2.94E-07	0.568	-3.37E-05	0
2.96E-07	0.576	-3.37E-05	-0.02
2.98E-07	0.56	-3.37E-05	-0.02
3.00E-07	0.56	-3.37E-05	-0.02
3.02E-07	0.56	-3.37E-05	-0.02
3.04E-07	0.56	-3.37E-05	-0.02
3.06E-07	0.568	-3.37E-05	0
3.08E-07	0.568	-3.37E-05	0
3.10E-07	0.56	-3.36E-05	-0.02
3.12E-07	0.552	-3.36E-05	-0.02
3.14E-07	0.56	-3.36E-05	-0.02
3.16E-07	0.568	-3.36E-05	0
3.18E-07	0.568	-3.36E-05	0
3.20E-07	0.56	-3.36E-05	0
3.22E-07	0.56	-3.36E-05	-0.02
3.24E-07	0.56	-3.36E-05	-0.02
3.26E-07	0.568	-3.36E-05	-0.02
