x	I_SD	I_SD 2	I_SD 3	I_SD 4	I_SD 5	I_SD 6
0.748	3.34e-08	6.81e-08	1.4e-07	2.94e-07	6.25e-07	1.34e-06
0.752	3.34e-08	6.81e-08	1.41e-07	2.94e-07	6.26e-07	1.34e-06
0.756	3.34e-08	6.81e-08	1.41e-07	2.95e-07	6.26e-07	1.34e-06
0.76	3.34e-08	6.81e-08	1.41e-07	2.95e-07	6.26e-07	1.34e-06
0.764	3.34e-08	6.81e-08	1.41e-07	2.95e-07	6.26e-07	1.34e-06
0.768	3.34e-08	6.81e-08	1.41e-07	2.95e-07	6.26e-07	1.34e-06
0.772	3.34e-08	6.81e-08	1.41e-07	2.95e-07	6.26e-07	1.34e-06
0.776	3.34e-08	6.81e-08	1.41e-07	2.95e-07	6.26e-07	1.34e-06
0.78	3.34e-08	6.81e-08	1.41e-07	2.95e-07	6.26e-07	1.34e-06
0.784	3.34e-08	6.82e-08	1.41e-07	2.95e-07	6.27e-07	1.34e-06
0.788	3.34e-08	6.82e-08	1.41e-07	2.95e-07	6.27e-07	1.34e-06
0.792	3.34e-08	6.82e-08	1.41e-07	2.95e-07	6.27e-07	1.34e-06
0.796	3.34e-08	6.82e-08	1.41e-07	2.95e-07	6.27e-07	1.34e-06
0.8	3.34e-08	6.82e-08	1.41e-07	2.95e-07	6.27e-07	1.34e-06
